买家会员名,类别
0,7
1,7
2,7
3,7
4,0
5,7
6,7
7,2
8,0
9,0
10,1
11,2
12,2
13,1
14,7
15,7
16,7
17,7
18,7
19,7
20,2
21,1
22,7
23,1
24,7
25,7
26,7
27,7
28,0
29,0
30,7
31,3
32,7
33,7
34,7
35,7
36,1
37,3
38,6
39,7
40,7
41,7
42,3
43,6
44,7
45,2
46,2
47,7
48,3
49,0
50,4
51,4
52,7
53,7
54,1
55,5
56,7
57,7
58,7
59,3
60,7
61,2
62,2
63,7
64,7
65,7
66,7
67,7
68,2
69,0
70,2
71,7
72,7
73,2
74,7
75,7
76,2
77,7
78,3
79,7
80,3
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,7
89,3
90,0
91,7
92,7
93,7
94,7
95,7
96,7
97,7
98,7
99,7
100,3
101,7
102,7
103,1
104,2
105,7
106,2
107,0
108,7
109,7
110,7
111,7
112,7
113,2
114,7
115,7
116,1
117,7
118,0
119,7
120,0
121,7
122,3
123,7
124,7
125,0
126,0
127,7
128,7
129,7
130,7
131,0
132,7
133,4
134,0
135,2
136,3
137,2
138,4
139,3
140,7
141,7
142,6
143,7
144,3
145,7
146,7
147,7
148,7
149,4
150,7
151,2
152,7
153,6
154,7
155,0
156,7
157,0
158,0
159,7
160,2
161,0
162,7
163,7
164,7
165,7
166,4
167,7
168,7
169,7
170,3
171,7
172,0
173,7
174,7
175,2
176,7
177,3
178,1
179,0
180,3
181,7
182,7
183,1
184,7
185,7
186,0
187,7
188,7
189,7
190,7
191,7
192,0
193,0
194,3
195,7
196,7
197,7
198,3
199,7
200,7
201,7
202,0
203,3
204,7
205,5
206,0
207,7
208,7
209,7
210,7
211,7
212,7
213,7
214,7
215,1
216,7
217,3
218,3
219,3
220,3
221,0
222,7
223,6
224,0
225,3
226,7
227,7
228,7
229,3
230,7
231,4
232,0
233,3
234,3
235,7
236,7
237,1
238,1
239,7
240,7
241,2
242,7
243,1
244,7
245,7
246,0
247,3
248,4
249,7
250,7
251,7
252,3
253,3
254,7
255,2
256,1
257,7
258,7
259,7
260,7
261,7
262,7
263,2
264,0
265,0
266,7
267,0
268,1
269,7
270,0
271,7
272,7
273,7
274,2
275,7
276,3
277,7
278,3
279,7
280,2
281,3
282,3
283,7
284,3
285,7
286,7
287,7
288,2
289,7
290,7
291,2
292,0
293,7
294,7
295,7
296,7
297,7
298,7
299,7
300,0
301,1
302,7
303,7
304,7
305,2
306,4
307,7
308,3
309,0
310,3
311,7
312,0
313,3
314,7
315,7
316,7
317,3
318,7
319,3
320,7
321,7
322,7
323,0
324,3
325,7
326,2
327,0
328,7
329,7
330,7
331,7
332,7
333,7
334,7
335,2
336,7
337,0
338,7
339,7
340,2
341,7
342,3
343,3
344,0
345,7
346,7
347,3
348,7
349,2
350,7
351,7
352,3
353,7
354,0
355,7
356,7
357,2
358,7
359,2
360,6
361,7
362,7
363,6
364,7
365,3
366,7
367,7
368,7
369,7
370,7
371,0
372,7
373,7
374,7
375,7
376,0
377,7
377,7
378,3
379,7
380,7
381,1
382,7
383,3
384,7
385,7
386,7
387,3
388,4
389,0
390,7
391,3
392,7
393,7
394,0
395,7
396,7
397,7
398,7
399,3
400,4
401,1
402,7
403,0
404,7
405,7
406,7
406,7
407,3
408,7
409,2
410,7
411,7
412,7
413,1
414,7
415,1
416,7
417,3
418,1
419,7
420,7
421,2
422,0
423,0
424,3
425,7
426,0
427,0
428,7
429,1
430,6
431,7
432,3
433,7
434,7
435,3
436,3
437,7
438,7
439,7
440,2
441,2
442,7
443,6
444,7
445,7
446,7
447,7
448,7
449,3
450,7
451,7
452,7
453,1
454,7
455,3
456,7
457,7
458,0
459,0
460,7
461,3
462,3
463,7
464,0
465,7
466,5
467,7
468,7
469,7
470,7
471,7
472,3
473,2
474,7
475,7
476,7
477,0
478,3
479,7
480,7
481,7
482,3
483,7
484,7
485,7
486,7
487,1
488,2
489,3
490,6
491,2
492,3
493,6
494,7
495,7
496,7
497,7
498,1
499,7
500,7
501,7
502,7
503,7
504,7
505,7
506,7
507,7
508,6
509,7
510,2
511,7
512,1
513,7
514,7
515,2
516,7
517,3
518,7
519,7
520,7
521,7
522,2
523,3
524,2
525,2
526,3
527,7
528,7
529,7
530,0
531,7
532,7
533,0
534,3
535,5
536,3
537,7
538,7
539,7
540,7
541,3
542,4
543,3
544,1
545,2
546,1
547,7
548,3
549,3
550,1
551,3
552,2
553,2
554,0
555,7
556,7
557,7
558,7
559,7
560,3
561,7
562,3
563,7
564,7
565,7
566,7
567,7
568,7
569,7
570,2
571,7
572,7
573,3
574,7
575,7
576,7
577,7
578,7
579,7
580,7
581,7
582,3
583,7
584,2
585,7
586,7
587,7
588,7
589,6
590,7
591,2
592,7
593,7
594,0
595,7
596,7
597,2
598,7
599,7
600,6
601,7
602,7
603,7
604,0
605,3
606,3
607,3
608,7
609,7
610,1
611,3
612,7
613,7
614,3
615,3
616,0
617,7
618,7
619,7
620,7
621,7
622,3
623,0
624,3
625,7
626,3
627,4
628,7
629,7
630,7
631,0
632,7
633,1
634,1
635,7
636,7
637,7
638,7
639,7
640,7
641,7
642,3
643,7
644,1
645,0
646,6
647,2
648,0
649,7
650,0
651,2
652,0
653,7
654,3
655,4
656,7
657,7
658,7
659,7
660,7
661,0
662,3
663,3
664,2
665,7
666,7
667,1
668,3
