买家会员名,宝贝ID,类别,购买次数
0,549882564050,7,2.888888888888889
0,538585695146,7,2.8333333333333335
0,544016559367,7,2.6363636363636362
0,39539028043,7,2.323529411764706
0,545957998521,7,2.085714285714286
0,548547222435,7,1.9333333333333333
0,544115759872,7,1.88
0,544115359956,7,1.875
0,529338111966,7,1.875
0,546243180299,7,1.8333333333333333
1,549882564050,7,2.888888888888889
1,538585695146,7,2.8333333333333335
1,544016559367,7,2.6363636363636362
1,39539028043,7,2.323529411764706
1,545957998521,7,2.085714285714286
1,548547222435,7,1.9333333333333333
1,544115759872,7,1.88
1,529338111966,7,1.875
1,544115359956,7,1.875
1,546243180299,7,1.8333333333333333
2,549882564050,7,2.888888888888889
2,538585695146,7,2.8333333333333335
2,544016559367,7,2.6363636363636362
2,39539028043,7,2.323529411764706
2,545957998521,7,2.085714285714286
2,548547222435,7,1.9333333333333333
2,544115759872,7,1.88
2,529338111966,7,1.875
2,544115359956,7,1.875
2,546243180299,7,1.8333333333333333
3,549882564050,7,2.888888888888889
3,538585695146,7,2.8333333333333335
3,544016559367,7,2.6363636363636362
3,39539028043,7,2.323529411764706
3,545957998521,7,2.085714285714286
3,548547222435,7,1.9333333333333333
3,544115759872,7,1.88
3,544115359956,7,1.875
3,529338111966,7,1.875
3,546243180299,7,1.8333333333333333
4,39539028043,0,3.4375
4,549378588703,0,2.75
4,544016559367,0,2.6666666666666665
4,540520509637,0,2.0
4,545959606207,0,2.0
4,549736062191,0,1.8333333333333333
4,549882564050,0,1.8333333333333333
4,550715341924,0,1.8
4,36286235128,0,1.7741935483870968
4,531877266868,0,1.6956521739130435
5,549882564050,7,2.888888888888889
5,538585695146,7,2.8333333333333335
5,544016559367,7,2.6363636363636362
5,39539028043,7,2.323529411764706
5,545957998521,7,2.085714285714286
5,548547222435,7,1.9333333333333333
5,544115759872,7,1.88
5,544115359956,7,1.875
5,529338111966,7,1.875
5,546243180299,7,1.8333333333333333
7,549736062191,2,4.0
7,544115359956,2,2.4444444444444446
7,544115759872,2,2.0294117647058822
7,540522690300,2,2.0
7,540520509637,2,2.0
7,537396783238,2,1.962962962962963
7,546243180299,2,1.8181818181818181
7,39539028043,2,1.7894736842105263
7,528705813655,2,1.6666666666666667
7,549882564050,2,1.625
8,39539028043,0,3.4375
8,549378588703,0,2.75
8,544016559367,0,2.6666666666666665
8,540520509637,0,2.0
8,545959606207,0,2.0
8,544768785584,0,1.8571428571428572
8,549882564050,0,1.8333333333333333
8,549736062191,0,1.8333333333333333
8,550715341924,0,1.8
8,36286235128,0,1.7741935483870968
9,39539028043,0,3.4375
9,549378588703,0,2.75
9,544016559367,0,2.6666666666666665
9,545959606207,0,2.0
9,540520509637,0,2.0
9,544768785584,0,1.8571428571428572
9,549736062191,0,1.8333333333333333
9,549882564050,0,1.8333333333333333
9,550715341924,0,1.8
9,531877266868,0,1.6956521739130435
10,545957998521,1,7.0
10,544115359956,1,4.0
10,546275765548,1,2.8333333333333335
10,528705813655,1,1.5
10,521019257989,1,1.3333333333333333
10,548547222435,1,1.3333333333333333
10,40400203213,1,1.2727272727272727
10,541592740476,1,1.1428571428571428
10,545602185334,1,1.0
10,530910185416,1,1.0
11,549736062191,2,4.0
11,544115359956,2,2.4444444444444446
11,544115759872,2,2.0294117647058822
11,540520509637,2,2.0
11,540522690300,2,2.0
11,537396783238,2,1.962962962962963
11,546243180299,2,1.8181818181818181
11,39539028043,2,1.7894736842105263
11,528705813655,2,1.6666666666666667
11,549882564050,2,1.625
12,549736062191,2,4.0
12,544115359956,2,2.4444444444444446
12,544115759872,2,2.0294117647058822
12,540520509637,2,2.0
12,540522690300,2,2.0
12,537396783238,2,1.962962962962963
12,546243180299,2,1.8181818181818181
12,39539028043,2,1.7894736842105263
12,528705813655,2,1.6666666666666667
12,549882564050,2,1.625
13,545957998521,1,7.0
13,544115359956,1,4.0
13,546275765548,1,2.8333333333333335
13,528705813655,1,1.5
13,521019257989,1,1.3333333333333333
13,548547222435,1,1.3333333333333333
13,40400203213,1,1.2727272727272727
13,541592740476,1,1.1428571428571428
13,528725788435,1,1.0
13,546273141690,1,1.0
14,549882564050,7,2.888888888888889
14,538585695146,7,2.8333333333333335
14,544016559367,7,2.6363636363636362
14,39539028043,7,2.323529411764706
14,545957998521,7,2.085714285714286
14,548547222435,7,1.9333333333333333
14,544115759872,7,1.88
14,529338111966,7,1.875
14,544115359956,7,1.875
14,546243180299,7,1.8333333333333333
15,549882564050,7,2.888888888888889
15,538585695146,7,2.8333333333333335
15,544016559367,7,2.6363636363636362
15,39539028043,7,2.323529411764706
15,545957998521,7,2.085714285714286
15,548547222435,7,1.9333333333333333
15,544115759872,7,1.88
15,529338111966,7,1.875
15,544115359956,7,1.875
15,546243180299,7,1.8333333333333333
16,549882564050,7,2.888888888888889
16,538585695146,7,2.8333333333333335
16,544016559367,7,2.6363636363636362
16,39539028043,7,2.323529411764706
16,545957998521,7,2.085714285714286
16,548547222435,7,1.9333333333333333
16,544115759872,7,1.88
16,544115359956,7,1.875
16,529338111966,7,1.875
16,546243180299,7,1.8333333333333333
17,538585695146,7,2.8333333333333335
17,544016559367,7,2.6363636363636362
17,39539028043,7,2.323529411764706
17,545957998521,7,2.085714285714286
17,548547222435,7,1.9333333333333333
17,544115759872,7,1.88
17,529338111966,7,1.875
17,544115359956,7,1.875
17,546243180299,7,1.8333333333333333
17,549378588703,7,1.6774193548387097
18,549882564050,7,2.888888888888889
18,538585695146,7,2.8333333333333335
18,544016559367,7,2.6363636363636362
18,39539028043,7,2.323529411764706
18,545957998521,7,2.085714285714286
18,548547222435,7,1.9333333333333333
18,544115759872,7,1.88
18,544115359956,7,1.875
18,529338111966,7,1.875
18,546243180299,7,1.8333333333333333
19,549882564050,7,2.888888888888889
19,538585695146,7,2.8333333333333335
19,544016559367,7,2.6363636363636362
19,39539028043,7,2.323529411764706
19,545957998521,7,2.085714285714286
19,548547222435,7,1.9333333333333333
19,544115759872,7,1.88
19,544115359956,7,1.875
19,529338111966,7,1.875
19,546243180299,7,1.8333333333333333
20,549736062191,2,4.0
20,544115359956,2,2.4444444444444446
20,544115759872,2,2.0294117647058822
20,540522690300,2,2.0
20,540520509637,2,2.0
20,537396783238,2,1.962962962962963
20,546243180299,2,1.8181818181818181
20,39539028043,2,1.7894736842105263
20,528705813655,2,1.6666666666666667
20,549882564050,2,1.625
21,545957998521,1,7.0
21,544115359956,1,4.0
21,546275765548,1,2.8333333333333335
21,528705813655,1,1.5
21,521019257989,1,1.3333333333333333
21,548547222435,1,1.3333333333333333
21,40400203213,1,1.2727272727272727
21,541592740476,1,1.1428571428571428
21,545602185334,1,1.0
21,530910185416,1,1.0
22,549882564050,7,2.888888888888889
22,538585695146,7,2.8333333333333335
22,544016559367,7,2.6363636363636362
22,39539028043,7,2.323529411764706
22,545957998521,7,2.085714285714286
22,548547222435,7,1.9333333333333333
22,544115759872,7,1.88
22,529338111966,7,1.875
22,544115359956,7,1.875
22,546243180299,7,1.8333333333333333
23,545957998521,1,7.0
23,544115359956,1,4.0
23,546275765548,1,2.8333333333333335
23,528705813655,1,1.5
23,548547222435,1,1.3333333333333333
23,521019257989,1,1.3333333333333333
23,40400203213,1,1.2727272727272727
23,541592740476,1,1.1428571428571428
23,547572252871,1,1.0
23,530812936284,1,1.0
24,549882564050,7,2.888888888888889
24,538585695146,7,2.8333333333333335
24,544016559367,7,2.6363636363636362
24,39539028043,7,2.323529411764706
24,545957998521,7,2.085714285714286
24,548547222435,7,1.9333333333333333
24,544115759872,7,1.88
24,544115359956,7,1.875
24,529338111966,7,1.875
24,546243180299,7,1.8333333333333333
25,549882564050,7,2.888888888888889
25,538585695146,7,2.8333333333333335
25,544016559367,7,2.6363636363636362
25,39539028043,7,2.323529411764706
25,545957998521,7,2.085714285714286
25,548547222435,7,1.9333333333333333
25,544115759872,7,1.88
25,544115359956,7,1.875
25,529338111966,7,1.875
25,546243180299,7,1.8333333333333333
26,549882564050,7,2.888888888888889
26,538585695146,7,2.8333333333333335
26,544016559367,7,2.6363636363636362
26,39539028043,7,2.323529411764706
26,545957998521,7,2.085714285714286
26,548547222435,7,1.9333333333333333
26,544115759872,7,1.88
26,529338111966,7,1.875
26,544115359956,7,1.875
26,546243180299,7,1.8333333333333333
27,549882564050,7,2.888888888888889
27,538585695146,7,2.8333333333333335
27,544016559367,7,2.6363636363636362
27,39539028043,7,2.323529411764706
27,545957998521,7,2.085714285714286
27,548547222435,7,1.9333333333333333
27,544115759872,7,1.88
27,529338111966,7,1.875
27,544115359956,7,1.875
27,546243180299,7,1.8333333333333333
28,39539028043,0,3.4375
28,549378588703,0,2.75
28,540520509637,0,2.0
28,545959606207,0,2.0
28,544768785584,0,1.8571428571428572
28,549736062191,0,1.8333333333333333
28,549882564050,0,1.8333333333333333
28,550715341924,0,1.8
28,36286235128,0,1.7741935483870968
28,531877266868,0,1.6956521739130435
29,39539028043,0,3.4375
29,549378588703,0,2.75
29,544016559367,0,2.6666666666666665
29,545959606207,0,2.0
29,540520509637,0,2.0
29,544768785584,0,1.8571428571428572
29,549882564050,0,1.8333333333333333
29,549736062191,0,1.8333333333333333
29,550715341924,0,1.8
29,36286235128,0,1.7741935483870968
30,549882564050,7,2.888888888888889
30,538585695146,7,2.8333333333333335
30,544016559367,7,2.6363636363636362
30,39539028043,7,2.323529411764706
30,545957998521,7,2.085714285714286
30,548547222435,7,1.9333333333333333
30,544115759872,7,1.88
30,544115359956,7,1.875
30,529338111966,7,1.875
30,546243180299,7,1.8333333333333333
31,537396783238,3,3.1511627906976742
31,544115759872,3,2.5510204081632653
31,36286235128,3,2.4596774193548385
